Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_&_Beverages,Inflight_Entertainment,Ground_Service,Wifi_&_Connectivity,Value_For_Money,Recommended
boeing 7879  a380800,Solo Leisure,First Class,Jeddah to Chicago via London,May 2018,4.0,5.0,4.0,5.0,1.0,4.0,5,0
a319,Solo Leisure,Economy Class,London to Hamburg,June 2018,4.0,3.0,3.0,3.0,5.0,1.0,3,1
a320,Solo Leisure,Economy Class,Munich to London Heathrow,July 2018,4.0,4.0,2.0,3.0,5.0,1.0,3,1
boeing 777,Business,Business Class,London to Shanghai,June 2018,1.0,5.0,4.0,2.0,2.0,1.0,3,0
boeing 777,Family Leisure,Economy Class,London to Tehran,August 2017,1.0,1.0,1.0,3.0,4.0,1.0,1,0
a321,Couple Leisure,Economy Class,Pisa to London Heathrow,July 2018,1.0,3.0,3.0,3.0,3.0,1.0,2,0
boeing 747,Business,First Class,London Heathrow to Las Vegas,June 2018,3.0,2.0,2.0,2.0,3.0,2.0,1,0
boeing 747  777,Solo Leisure,Premium Economy,Delhi to London,June 2018,4.0,4.0,4.0,4.0,4.0,1.0,4,1
boeing 7879,Couple Leisure,Business Class,Seychelles to London,June 2018,2.0,3.0,3.0,3.0,1.0,1.0,1,0
a380,Business,First Class,London to Vancouver,June 2018,2.0,4.0,2.0,2.0,2.0,1.0,4,0
boeing 747,Family Leisure,Economy Class,New York JFK to Rome via London Heathrow,June 2018,3.0,5.0,5.0,5.0,1.0,5.0,1,0
boeing 777,Business,Business Class,Newark to London Heathrow,June 2018,3.0,1.0,1.0,3.0,4.0,3.0,2,0
boeing 747 and boeing 777,Couple Leisure,Business Class,London Heathrow to Seattle,June 2018,4.0,5.0,5.0,4.0,5.0,1.0,3,1
boeing 747,Solo Leisure,Economy Class,London to Johannesburg,April 2018,1.0,1.0,1.0,1.0,4.0,1.0,2,0
boeing 787,Couple Leisure,Premium Economy,Calgary to London,June 2018,1.0,1.0,1.0,2.0,2.0,1.0,2,0
boeing 767,Business,Economy Class,London to Zurich,June 2018,3.0,2.0,1.0,1.0,4.0,1.0,4,0
boeing 747,Couple Leisure,Economy Class,Glasgow to New York via London,June 2018,2.0,4.0,4.0,3.0,3.0,1.0,3,0
boeing 787,Solo Leisure,Economy Class,London Heathrow to Baltimore,June 2018,2.0,3.0,3.0,4.0,4.0,1.0,4,1
a380 and 747,Couple Leisure,Business Class,London to Johannesburg,February 2018,2.0,3.0,3.0,3.0,3.0,1.0,1,0
boeing 747400,Couple Leisure,Business Class,Cape Town to London Heathrow,June 2018,2.0,3.0,2.0,2.0,3.0,1.0,3,0
boeing 777200 er,Solo Leisure,Premium Economy,Toronto to London,June 2018,3.0,5.0,4.0,3.0,5.0,1.0,4,1
boeing 747400,Couple Leisure,Economy Class,London to Chicago,April 2018,5.0,5.0,4.0,4.0,4.0,1.0,5,1
a320,Couple Leisure,Business Class,London Heathrow to Corfu ,May 2018,4.0,5.0,5.0,3.0,4.0,1.0,5,1
boeing 747  a320,Solo Leisure,Business Class,Washington to Bucharest via London,May 2018,5.0,5.0,4.0,3.0,5.0,1.0,5,1
a320,Solo Leisure,Economy Class,London to Warsaw,May 2018,2.0,2.0,3.0,3.0,3.0,1.0,3,0
a320,Solo Leisure,Economy Class,London to Istanbul,May 2018,3.0,5.0,1.0,3.0,2.0,1.0,1,0
boeing 747400,Couple Leisure,First Class,London to Cape Town,May 2018,4.0,2.0,4.0,3.0,4.0,1.0,3,1
boeing 747,Solo Leisure,First Class,Miami to Hamburg via London,May 2018,3.0,4.0,3.0,3.0,2.0,1.0,1,0
a380,Business,Business Class,Los Angeles to London Heathrow,May 2018,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a320,Family Leisure,Economy Class,London Heathrow to Mahon,May 2018,3.0,2.0,3.0,3.0,1.0,1.0,2,0
boeing 777200,Business,First Class,Dubai to London Heathrow,May 2018,5.0,5.0,5.0,3.0,5.0,1.0,5,1
a380,Solo Leisure,Economy Class,London Heathrow to Singapore,May 2018,4.0,3.0,4.0,3.0,4.0,1.0,4,1
boeing 747 400,Couple Leisure,Premium Economy,Washington to London,May 2018,1.0,4.0,2.0,1.0,2.0,1.0,1,0
a380,Business,Economy Class,Singapore to London,May 2018,4.0,2.0,1.0,1.0,3.0,1.0,4,0
boeing 777200,Business,Economy Class,Sydney to London via Singapore,May 2018,4.0,3.0,1.0,1.0,4.0,1.0,4,0
a321,Business,Economy Class,Munich to London,May 2018,3.0,5.0,1.0,3.0,3.0,1.0,3,0
a320,Solo Leisure,Economy Class,London to Reykjavik ,May 2018,4.0,4.0,2.0,3.0,4.0,1.0,4,1
boeing 747400,Business,Business Class,Cape Town to London,May 2018,3.0,1.0,1.0,1.0,3.0,1.0,2,0
boeing 787  a320,Couple Leisure,Economy Class,Washington to Prague via London,May 2018,1.0,3.0,3.0,4.0,2.0,1.0,3,0
boeing 747,Solo Leisure,First Class,London to Washington,May 2018,3.0,2.0,2.0,1.0,4.0,1.0,1,0
boeing 747,Solo Leisure,Economy Class,Washington to Glasgow via London,May 2018,4.0,4.0,3.0,3.0,3.0,1.0,5,1
boeing 777300er  a320,Solo Leisure,Economy Class,Tokyo to Amsterdam via London,May 2018,2.0,2.0,1.0,1.0,4.0,1.0,3,0
a320,Business,Business Class,Vienna to London Heathrow,May 2018,3.0,4.0,2.0,3.0,3.0,1.0,3,1
a320,Solo Leisure,Economy Class,London Heathrow to Vienna,May 2018,1.0,1.0,1.0,2.0,1.0,1.0,1,0
boeing 747,Business,Business Class,London to Phoenix ,May 2018,4.0,3.0,4.0,1.0,4.0,1.0,4,1
a319  boeing 777,Solo Leisure,Economy Class,Brussels to Shanghai via London,April 2018,5.0,5.0,5.0,4.0,2.0,1.0,5,1
a380,Solo Leisure,Economy Class,Chicago to London Heathrow,May 2018,4.0,4.0,3.0,3.0,4.0,3.0,3,1
a320  boeing 787,Couple Leisure,Economy Class,Athens to Philadelphia via London,April 2018,4.0,4.0,2.0,4.0,4.0,4.0,3,0
boeing 777,Couple Leisure,Business Class,Hong Kong to London,April 2018,2.0,5.0,3.0,3.0,4.0,1.0,4,0
a380,Solo Leisure,Business Class,Los Angeles to London Heathrow,April 2018,4.0,5.0,4.0,5.0,5.0,1.0,5,1
a319  boeing 7878,Solo Leisure,Premium Economy,Hamburg to Abu Dhabi via London ,May 2018,3.0,2.0,2.0,4.0,1.0,1.0,2,0
boeing 747,Solo Leisure,Premium Economy,London Heathrow to Vancouver,April 2018,1.0,1.0,1.0,2.0,4.0,1.0,2,0
boeing 767,Business,Business Class,Madrid to London,April 2018,4.0,5.0,4.0,3.0,4.0,1.0,3,1
boeing 777300,Family Leisure,Business Class,London to Sao Paulo,April 2018,4.0,4.0,4.0,5.0,5.0,4.0,4,1
boeing 777,Couple Leisure,Business Class,Tampa to London Gatwick,April 2018,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a319,Business,Business Class,London Heathrow to Dusseldorf,February 2018,1.0,1.0,1.0,3.0,1.0,1.0,1,0
a320,Business,Business Class,Madrid to London,April 2018,2.0,5.0,1.0,3.0,1.0,1.0,1,0
a321,Business,Business Class,London to Moscow,March 2018,1.0,4.0,1.0,3.0,1.0,1.0,2,0
boeing 747400,Solo Leisure,Economy Class,Miami to London ,March 2018,4.0,4.0,4.0,4.0,4.0,1.0,4,1
boeing 747400,Solo Leisure,Economy Class,London Heathrow to Dallas,April 2018,3.0,3.0,3.0,2.0,3.0,1.0,2,0
a320,Business,Business Class,London to Copenhagen ,April 2018,2.0,3.0,1.0,3.0,3.0,1.0,2,0
a380,Family Leisure,Premium Economy,Los Angeles to London,April 2018,1.0,1.0,2.0,3.0,1.0,1.0,1,0
boeing 777300,Family Leisure,Premium Economy,São Paulo to London Heathrow,April 2018,2.0,1.0,2.0,3.0,2.0,1.0,2,0
a320,Couple Leisure,Economy Class,Budapest to London Heathrow,March 2018,1.0,1.0,3.0,3.0,3.0,1.0,2,0
boeing 777,Family Leisure,Economy Class,London Heathrow to New York JFK,April 2018,1.0,5.0,2.0,2.0,1.0,1.0,3,0
boeing 7879,Family Leisure,Premium Economy,London Heathrow to Cairo ,April 2018,4.0,5.0,5.0,5.0,5.0,1.0,5,1
boeing 747,Family Leisure,Business Class,Dubai to London Heathrow,March 2018,4.0,5.0,4.0,3.0,4.0,1.0,4,1
boeing 7879,Solo Leisure,First Class,London to Muscat,March 2018,5.0,4.0,4.0,3.0,4.0,1.0,4,1
boeing 777200,Couple Leisure,Business Class,London Gatwick to Fort Lauderdale ,March 2018,3.0,4.0,4.0,3.0,4.0,1.0,4,1
boeing 777200,Business,Business Class,Bangkok to London,March 2018,1.0,2.0,1.0,3.0,4.0,1.0,1,0
boeing 777,Couple Leisure,Economy Class,Bangkok to London,March 2018,1.0,2.0,1.0,2.0,1.0,1.0,2,0
boeing 7879,Business,First Class,London Heathrow to Delhi Airport,October 2017,4.0,1.0,1.0,1.0,2.0,1.0,1,0
boeing 747400,Business,Economy Class,Miami to London,March 2018,2.0,3.0,3.0,1.0,3.0,1.0,2,0
a320,Business,Business Class,Warsaw to London,March 2018,1.0,4.0,5.0,3.0,4.0,1.0,4,1
boeing 777,Business,Business Class,Chicago to Chennai via London,February 2018,1.0,1.0,1.0,3.0,1.0,1.0,1,0
boeing 787,Solo Leisure,Economy Class,London Heathrow to Toronto,February 2018,3.0,4.0,3.0,2.0,4.0,1.0,4,1
a380,Business,Business Class,London to Hong Kong,February 2018,3.0,1.0,1.0,3.0,3.0,1.0,1,0
a380,Solo Leisure,Premium Economy,Miami to London Heathrow,February 2018,5.0,5.0,3.0,5.0,5.0,1.0,5,1
boeing 747,Couple Leisure,First Class,London to Phoenix,July 2017,1.0,5.0,1.0,1.0,1.0,1.0,1,0
a319,Couple Leisure,Economy Class,Edimbourgh to London Gatwick,February 2018,1.0,3.0,3.0,3.0,3.0,1.0,5,0
boeing 747400,Business,Business Class,Chicago to London Heathrow,February 2018,1.0,1.0,1.0,1.0,3.0,1.0,1,0
boeing 757,Solo Leisure,Economy Class,Athens to London,February 2018,3.0,4.0,3.0,2.0,4.0,1.0,5,1
boeing 747,Couple Leisure,Premium Economy,London Heathrow to Miami,February 2018,2.0,3.0,2.0,2.0,3.0,1.0,2,0
boeing 777,Solo Leisure,Economy Class,London to Bombay,December 2017,4.0,5.0,4.0,4.0,3.0,1.0,5,1
a319320,Couple Leisure,Business Class,Manchester to Gothenburg via London Heathrow,February 2018,2.0,3.0,2.0,1.0,3.0,1.0,2,0
boeing 777,Couple Leisure,Economy Class,London Gatwick to Cape Town,February 2018,4.0,3.0,4.0,3.0,4.0,1.0,3,0
a321,Solo Leisure,Business Class,Aberdeen to London Heathrow,February 2018,5.0,5.0,5.0,3.0,4.0,1.0,5,1
a320,Solo Leisure,Business Class,Dusseldorf to London,February 2018,3.0,5.0,5.0,3.0,4.0,1.0,4,1
a380,Solo Leisure,Economy Class,London to Johannesburg,January 2018,5.0,5.0,3.0,5.0,5.0,1.0,4,1
a319,Business,Economy Class,London to Duesseldorf,January 2018,1.0,1.0,3.0,3.0,1.0,1.0,1,0
boeing 777,Solo Leisure,Premium Economy,London to Bengaluru,February 2018,2.0,1.0,1.0,1.0,2.0,1.0,1,0
a320,Solo Leisure,Economy Class,London Heathrow to Paris Orly,October 2017,3.0,4.0,3.0,3.0,2.0,1.0,2,0
a320,Solo Leisure,Business Class,London Heathrow to Belfast,January 2018,5.0,4.0,4.0,3.0,4.0,1.0,4,1
a380,Business,Business Class,Singapore to Madrid via London Heathrow,January 2018,1.0,2.0,2.0,2.0,1.0,1.0,1,0
a319,Business,Business Class,London Gatwick to Turin,January 2018,1.0,1.0,2.0,3.0,3.0,1.0,1,0
a320,Solo Leisure,Economy Class,London to Dusseldorf,December 2017,2.0,4.0,1.0,1.0,1.0,1.0,1,0
boeing 777200,Couple Leisure,Business Class,London to Bangkok,January 2018,5.0,5.0,5.0,2.0,5.0,2.0,5,1
a320,Solo Leisure,Business Class,London Gatwick to Rome Fiumicino,December 2017,5.0,5.0,5.0,5.0,5.0,1.0,5,1
boeing 7879,Solo Leisure,Business Class,"San Jose, CA to London Heathrow",January 2018,4.0,5.0,5.0,4.0,3.0,1.0,4,1
boeing 777,Business,Business Class,Dubai to London,December 2017,1.0,1.0,1.0,3.0,1.0,1.0,1,0
e170  a319,Business,Economy Class,London to Düsseldorf,January 2018,3.0,5.0,1.0,3.0,4.0,1.0,2,0
e190,Couple Leisure,Economy Class,Rotterdam to London City,January 2018,5.0,5.0,3.0,3.0,4.0,1.0,5,1
boeing 747400,Solo Leisure,First Class,Chicago to London Heathrow,January 2018,5.0,5.0,5.0,5.0,4.0,1.0,5,1
boeing 777200,Couple Leisure,First Class,Toronto to London,January 2018,4.0,4.0,4.0,3.0,3.0,1.0,4,0
boeing 747,Solo Leisure,Economy Class,Las Vegas to Manchester via London,January 2018,1.0,2.0,1.0,2.0,1.0,1.0,1,0
boeing 777,Business,Business Class,London to Dubai,January 2018,2.0,1.0,1.0,3.0,3.0,1.0,1,0
a380,Solo Leisure,Economy Class,London to Johannesburg,December 2017,5.0,5.0,4.0,4.0,4.0,1.0,4,1
boeing 777300er,Family Leisure,First Class,Hong Kong to London,December 2017,4.0,5.0,5.0,3.0,4.0,1.0,4,1
boeing 747400,Couple Leisure,Economy Class,London to New York,November 2017,1.0,1.0,1.0,2.0,3.0,1.0,2,0
boeing 747400,Family Leisure,Economy Class,New York to London,December 2017,4.0,4.0,4.0,3.0,3.0,1.0,3,1
a380,Solo Leisure,Premium Economy,London to Hong Kong,December 2017,4.0,4.0,4.0,4.0,5.0,1.0,3,1
boeing 777,Family Leisure,First Class,London to Houston,December 2017,3.0,3.0,1.0,3.0,1.0,1.0,1,0
boeing 747400,Solo Leisure,Economy Class,Dubai to London Heathrow,December 2017,2.0,1.0,2.0,1.0,4.0,1.0,2,0
boeing 747400,Solo Leisure,Economy Class,New York to Budapest via London,December 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a320,Couple Leisure,Economy Class,Hamburg to London Heathrow,June 2017,3.0,2.0,3.0,3.0,5.0,1.0,2,0
a320,Family Leisure,Economy Class,London to Pisa,October 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a320,Family Leisure,Economy Class,London to Toulouse,October 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,0
boeing 787900,Solo Leisure,Business Class,London to Santiago ,November 2017,5.0,5.0,4.0,4.0,4.0,1.0,5,1
a320,Couple Leisure,Economy Class,London to Rome,November 2017,5.0,3.0,3.0,3.0,5.0,1.0,5,1
boeing 777,Solo Leisure,Premium Economy,London to Seattle,November 2017,4.0,4.0,4.0,3.0,4.0,1.0,4,1
boeing 777,Solo Leisure,Premium Economy,Seattle to London,November 2017,4.0,4.0,3.0,3.0,4.0,1.0,4,1
a320,Family Leisure,Economy Class,London to Barcelona,June 2017,1.0,1.0,3.0,3.0,1.0,1.0,1,0
boeing 747400,Business,Economy Class,Vancouver to Edinburgh via London,December 2017,2.0,2.0,3.0,2.0,1.0,1.0,2,0
a319,Solo Leisure,First Class,London to Berlin Tegel,November 2017,2.0,2.0,1.0,1.0,4.0,1.0,2,0
boeing 777200,Family Leisure,First Class,London Heathrow to Dubai,November 2017,3.0,4.0,2.0,2.0,3.0,1.0,1,0
boeing 777200,Family Leisure,First Class,Dubai to London Heathrow,November 2017,3.0,2.0,2.0,2.0,2.0,1.0,2,0
boeing 777200,Business,Business Class,Saint Lucia to London Gatwick,November 2017,2.0,3.0,2.0,4.0,4.0,3.0,2,0
a320,Business,Business Class,London Heathrow to Belfast,November 2017,4.0,5.0,4.0,3.0,4.0,1.0,4,1
boeing 747400,Couple Leisure,Business Class,London Heathrow to New York JFK,November 2017,4.0,5.0,5.0,5.0,4.0,4.0,4,1
a320200,Couple Leisure,Business Class,Manchester to London,October 2017,1.0,3.0,3.0,3.0,1.0,1.0,3,0
boeing 767,Family Leisure,Economy Class,London to Athens,November 2017,3.0,3.0,3.0,3.0,1.0,1.0,2,0
a320319,Business,Economy Class,Berlin Tegel to London Heathrow,November 2017,4.0,1.0,3.0,3.0,2.0,1.0,1,0
boeing 777,Couple Leisure,Business Class,London Heathrow to Doha,October 2017,2.0,3.0,2.0,1.0,2.0,1.0,3,0
a320,Business,Economy Class,London Heathrow to Basel,November 2017,2.0,1.0,1.0,3.0,1.0,1.0,1,0
boeing 747,Couple Leisure,Economy Class,Miami to London Heathrow,November 2017,1.0,5.0,1.0,1.0,3.0,1.0,3,0
boeing 747400,Business,Business Class,Prague to Washington via London,November 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,0
boeing 747400,Couple Leisure,First Class,Cape Town to London,November 2017,4.0,5.0,5.0,3.0,4.0,1.0,4,1
boeing 777200 er,Business,Premium Economy,Bangkok to London Heathrow,September 2017,2.0,4.0,3.0,1.0,5.0,1.0,3,0
boeing 777200,Solo Leisure,First Class,Tel Aviv to London,November 2017,5.0,4.0,5.0,4.0,2.0,1.0,5,1
boeing 777200,Solo Leisure,Business Class,London to Tel Aviv,November 2017,5.0,4.0,4.0,1.0,4.0,1.0,5,1
boeing 787,Family Leisure,Economy Class,Kuala Lumpur to Madrid via London,November 2017,4.0,3.0,2.0,4.0,3.0,1.0,4,1
a319,Solo Leisure,Economy Class,Madrid to London Heathrow,November 2017,3.0,1.0,1.0,3.0,2.0,1.0,3,0
a380,Couple Leisure,Business Class,London Heathrow to Johannesburg,November 2017,4.0,4.0,4.0,3.0,4.0,1.0,4,1
boeing 787,Solo Leisure,Business Class,London Heathrow to Seoul Incheon,January 2017,3.0,4.0,2.0,3.0,2.0,1.0,3,0
boeing 787,Solo Leisure,Business Class,Seoul Incheon to London Heathrow,December 2016,3.0,3.0,3.0,3.0,4.0,1.0,3,0
boeing 747,Business,Economy Class,Cape Town to London,November 2017,1.0,1.0,1.0,1.0,3.0,1.0,3,0
boeing 747,Family Leisure,Business Class,London to Philadelphia,October 2017,4.0,5.0,2.0,4.0,4.0,1.0,4,1
boeing 767,Business,Business Class,London to Edinburgh,November 2017,1.0,3.0,3.0,3.0,3.0,1.0,1,0
a321,Business,Economy Class,Düsseldorf to London ,August 2017,3.0,4.0,2.0,3.0,2.0,1.0,1,0
boeing 7879,Couple Leisure,Business Class,London to Santiago,November 2017,3.0,4.0,3.0,3.0,4.0,1.0,3,1
boeing 747400,Business,Business Class,London to New York JFK,November 2017,2.0,3.0,2.0,3.0,3.0,1.0,1,0
boeing 777200,Couple Leisure,Business Class,London to Mumbai,October 2017,3.0,4.0,2.0,1.0,5.0,1.0,1,0
boeing 7878,Business,Business Class,London to Toronto,October 2017,2.0,2.0,1.0,1.0,1.0,3.0,2,0
boeing 747400,Business,First Class,New York JFK to London,October 2017,3.0,4.0,3.0,4.0,3.0,1.0,2,0
a380,Solo Leisure,Economy Class,Los Angeles to London Heathrow,July 2017,4.0,4.0,4.0,4.0,4.0,1.0,4,1
a321,Business,Economy Class,London Heathrow to Madrid,October 2017,1.0,2.0,3.0,3.0,2.0,1.0,1,0
a320,Business,Economy Class,London to Zurich,October 2017,2.0,2.0,1.0,1.0,2.0,1.0,1,0
a320,Couple Leisure,Economy Class,London Heathrow to Gibraltar,September 2017,3.0,2.0,2.0,3.0,3.0,1.0,3,1
a319,Couple Leisure,Business Class,Pisa to London,October 2017,1.0,5.0,3.0,3.0,3.0,1.0,1,0
boeing 747400,Business,First Class,Las Vegas to London Heathrow,September 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,0
e190,Family Leisure,Economy Class,London City to Edinburgh,September 2017,5.0,4.0,4.0,3.0,4.0,1.0,4,1
a380,Solo Leisure,Economy Class,Los Angeles to London Heathrow,October 2017,4.0,1.0,2.0,1.0,5.0,1.0,2,0
boeing 777,Solo Leisure,Economy Class,London Heathrow to Bangkok,October 2017,2.0,2.0,1.0,1.0,2.0,1.0,2,0
boeing 767,Couple Leisure,Economy Class,Larnaca to London Heathrow,October 2017,3.0,3.0,3.0,1.0,4.0,1.0,3,1
a320,Solo Leisure,Economy Class,Leeds Bradford to Geneva via London Heathrow,October 2017,4.0,4.0,2.0,3.0,4.0,1.0,2,1
a380,Business,Business Class,Los Angeles to Doha via London,October 2017,2.0,3.0,1.0,4.0,4.0,1.0,3,0
a321,Couple Leisure,Economy Class,London Heathrow to Istanbul,August 2017,2.0,1.0,1.0,3.0,2.0,1.0,1,0
boeing 777200  7879  a319 320,Business,Premium Economy,Toronto to Oslo via London,September 2017,1.0,3.0,1.0,3.0,4.0,1.0,4,1
a321,Solo Leisure,Economy Class,London to Sofia,September 2017,3.0,5.0,2.0,3.0,3.0,1.0,3,1
boeing 747400,Business,First Class,London Heathrow to Chicago ,August 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a320,Solo Leisure,Economy Class,Brussels to London ,September 2017,5.0,5.0,3.0,3.0,5.0,1.0,5,1
a321,Solo Leisure,Economy Class,London Heathrow to Sofia,September 2017,4.0,4.0,1.0,3.0,3.0,1.0,3,1
a320,Couple Leisure,Business Class,Kalamata to London Heathrow,September 2017,2.0,2.0,2.0,3.0,3.0,1.0,2,0
boeing 777,Business,Economy Class,"London Heathrow to Abuja, Nigeria",September 2017,1.0,2.0,2.0,2.0,3.0,2.0,2,0
boeing 777,Business,Economy Class,London to Tokyo Haneda,September 2017,2.0,4.0,1.0,2.0,3.0,1.0,1,0
a380,Solo Leisure,Premium Economy,London to Hong Kong,September 2017,3.0,5.0,3.0,3.0,2.0,1.0,3,0
a320,Couple Leisure,Business Class,London Heathrow to Kalamata,September 2017,2.0,4.0,3.0,3.0,3.0,1.0,3,0
boeing 777,Business,Business Class,Dubai to London,September 2017,3.0,1.0,1.0,1.0,3.0,1.0,1,0
a319,Couple Leisure,Economy Class,London Heathrow to Biarritz,September 2017,4.0,5.0,4.0,3.0,4.0,1.0,4,1
a320,Couple Leisure,Economy Class,London Gatwick to Funchal,September 2017,1.0,1.0,1.0,3.0,2.0,1.0,1,0
a320,Family Leisure,Business Class,Zakinthos to London Heathrow,September 2017,4.0,5.0,4.0,2.0,2.0,1.0,5,1
a319,Business,Economy Class,Belfast City to London Heathrow,September 2017,3.0,4.0,4.0,3.0,5.0,1.0,2,1
boeing 777200,Business,Business Class,Toronto to London Heathrow,September 2017,4.0,5.0,3.0,3.0,4.0,1.0,4,1
a320,Family Leisure,Business Class,London Heathrow to Zakinthos,August 2017,4.0,5.0,4.0,2.0,5.0,1.0,5,1
a380,Family Leisure,Economy Class,London to Vancouver,August 2017,3.0,5.0,3.0,4.0,4.0,1.0,3,1
boeing 777200er,Business,Economy Class,London to Sao Paulo,August 2017,2.0,4.0,2.0,4.0,5.0,1.0,4,1
boeing 777,Solo Leisure,Business Class,Bangkok to London,September 2017,4.0,1.0,1.0,2.0,4.0,1.0,1,0
boeing 747400,Couple Leisure,Business Class,London to Cape Town,August 2017,2.0,2.0,2.0,1.0,1.0,1.0,2,0
a319,Business,Economy Class,London to Milan,August 2017,3.0,1.0,1.0,3.0,3.0,1.0,2,1
a321,Business,Economy Class,London Heathrow to Bucharest,August 2017,2.0,4.0,2.0,1.0,3.0,1.0,2,0
a321,Couple Leisure,Economy Class,London to Bologna,August 2017,4.0,4.0,2.0,1.0,4.0,1.0,4,0
a320,Business,Business Class,London Heathrow to Keflavik,August 2017,3.0,5.0,4.0,1.0,4.0,1.0,4,1
a320,Family Leisure,Economy Class,Larnaca to London Heathrow,August 2017,3.0,1.0,2.0,3.0,4.0,1.0,2,0
boeing 777300,Couple Leisure,Economy Class,Tokyo Haneda to London,August 2017,3.0,3.0,1.0,3.0,2.0,2.0,2,0
boeing 767,Couple Leisure,Economy Class,Rome to London,August 2017,1.0,1.0,1.0,1.0,1.0,1.0,1,0
boeing 747400,Business,First Class,New York to Cape Town via London,August 2017,2.0,4.0,2.0,2.0,3.0,1.0,2,0
boeing 747,Business,Business Class,London to Philadelphia,August 2017,3.0,1.0,1.0,1.0,2.0,1.0,1,0
a320,Couple Leisure,Business Class,Athens to Newcastle via London,August 2017,2.0,5.0,1.0,3.0,5.0,1.0,2,0
a319,Family Leisure,Business Class,London to Paris Orly,August 2017,3.0,3.0,2.0,3.0,3.0,1.0,3,0
embraer 170,Business,Business Class,London City to Dusseldorf,August 2017,4.0,2.0,1.0,3.0,1.0,1.0,2,0
a380,Family Leisure,Business Class,Vancouver to London Heathrow,July 2017,1.0,4.0,1.0,2.0,2.0,1.0,1,0
boeing 747400  a380,Solo Leisure,Premium Economy,Johannesburg to London,August 2017,5.0,5.0,5.0,5.0,4.0,3.0,4,1
boeing 747400,Solo Leisure,Business Class,Oslo to Philadelphia via London,August 2017,2.0,2.0,1.0,3.0,3.0,1.0,2,0
a320,Family Leisure,Business Class,Athens to London,August 2017,1.0,2.0,1.0,1.0,3.0,1.0,1,0
boeing 767,Business,Economy Class,Nice to London Heathrow,August 2017,1.0,1.0,1.0,3.0,1.0,1.0,1,0
a320,Business,Business Class,Paris CDG to London,August 2017,3.0,1.0,3.0,3.0,1.0,1.0,1,0
a380,Solo Leisure,Economy Class,Vancouver to London Heathrow,August 2017,3.0,1.0,1.0,2.0,4.0,1.0,2,0
a380,Solo Leisure,Premium Economy,Vancouver to London,July 2017,2.0,1.0,1.0,1.0,3.0,1.0,3,0
boeing 767,Couple Leisure,Economy Class,Athens to London ,June 2017,1.0,2.0,3.0,3.0,2.0,1.0,1,0
boeing 747,Business,Business Class,London Heathrow to Accra,July 2017,1.0,2.0,1.0,1.0,1.0,1.0,1,0
boeing 777,Solo Leisure,Business Class,San Diego to London,July 2017,1.0,2.0,2.0,2.0,2.0,1.0,1,0
a319,Couple Leisure,Business Class,Pisa to London Gatwick,July 2017,3.0,4.0,3.0,3.0,3.0,1.0,5,1
boeing 777300,Family Leisure,Economy Class,Newcastle to Boston via London,July 2017,5.0,5.0,5.0,5.0,4.0,1.0,4,1
a321,Family Leisure,Economy Class,London Heathrow to Sofia,July 2017,2.0,1.0,1.0,3.0,1.0,1.0,1,0
a320,Solo Leisure,Economy Class,London to Frankfurt,August 2016,3.0,1.0,1.0,3.0,2.0,1.0,2,0
a321,Couple Leisure,Economy Class,London Heathrow to Bologna,July 2017,3.0,4.0,3.0,3.0,4.0,1.0,5,1
boeing 747,Couple Leisure,Economy Class,London Heathrow to New York JFK,July 2017,2.0,1.0,1.0,3.0,2.0,1.0,1,0
a321  boeing 777,Couple Leisure,Business Class,Barcelona to Boston via London,July 2017,2.0,5.0,4.0,3.0,3.0,1.0,1,0
a321,Solo Leisure,Economy Class,London to Madrid,July 2017,2.0,3.0,1.0,1.0,3.0,1.0,4,0
a319,Business,Economy Class,London to Brussels ,July 2017,2.0,2.0,3.0,3.0,2.0,1.0,2,0
boeing 747 400,Business,Business Class,London Heathrow to Accra,July 2017,1.0,3.0,1.0,1.0,1.0,1.0,1,0
boeing 777,Business,Business Class,Dubai to London,July 2017,4.0,2.0,2.0,1.0,1.0,1.0,2,0
a321,Couple Leisure,Economy Class,London to Sofia,June 2017,1.0,1.0,1.0,3.0,3.0,1.0,1,0
boeing 747,Business,Business Class,New York JFK to London Heathrow,July 2017,1.0,1.0,1.0,1.0,2.0,1.0,1,0
a320,Business,Economy Class,Athens to London Heathrow,July 2017,3.0,2.0,1.0,1.0,3.0,1.0,3,1
boeing 747400,Solo Leisure,Economy Class,London to Boston,April 2017,4.0,5.0,5.0,4.0,4.0,1.0,5,1
boeing 777,Business,Business Class,Toronto to London Heathrow,June 2017,1.0,4.0,1.0,2.0,3.0,1.0,1,0
a320,Couple Leisure,Business Class,Newcastle to Geneva via London,July 2017,4.0,5.0,4.0,3.0,3.0,1.0,4,1
