Aircraft,Type_Of_Traveller,Seat_Type,Route,Date_Flown,Seat_Comfort,Cabin_Staff_Service,Food_&_Beverages,Inflight_Entertainment,Ground_Service,Wifi_&_Connectivity,Value_For_Money,Recommended
boeing 777,Couple Leisure,Business Class,London Heathrow to Orlando,January 2022,2.0,4.0,3.0,1.0,3.0,1.0,3,0
a380,Couple Leisure,Economy Class,London Heathrow to Dubai,January 2022,2.0,1.0,1.0,2.0,1.0,1.0,1,0
a319,Business,Business Class,Glasgow to London Heathrow,December 2021,2.0,1.0,1.0,3.0,2.0,1.0,1,0
boeing 777,Couple Leisure,Business Class,London to Cape Town,December 2021,3.0,3.0,2.0,5.0,4.0,1.0,3,1
a320200,Solo Leisure,Business Class,Edinburgh to London,December 2021,4.0,5.0,4.0,3.0,5.0,5.0,4,1
a320200,Solo Leisure,Business Class,London to Edinburgh,December 2021,4.0,5.0,5.0,3.0,3.0,1.0,4,1
a380,Family Leisure,Economy Class,London Heathrow to Los Angeles,December 2021,1.0,4.0,1.0,1.0,2.0,1.0,1,0
boeing 777,Business,Economy Class,London to St Lucia,December 2021,5.0,5.0,4.0,3.0,5.0,1.0,5,1
boeing 787,Couple Leisure,First Class,London to Chicago,November 2021,4.0,5.0,5.0,3.0,4.0,5.0,4,1
a320,Solo Leisure,Business Class,London to Istanbul,December 2021,1.0,2.0,3.0,1.0,1.0,1.0,2,0
boeing 777,Couple Leisure,Business Class,Dubai to London Heaathrow,December 2021,4.0,2.0,3.0,4.0,1.0,3.0,4,1
a320,Solo Leisure,Economy Class,London to Aberdeen,December 2021,3.0,4.0,3.0,3.0,1.0,1.0,1,0
boeing 777,Couple Leisure,Business Class,London Gatwick to Cancun,December 2021,1.0,5.0,3.0,2.0,5.0,1.0,3,0
a320,Business,Business Class,London Heathrow to Paris CDG,November 2021,3.0,4.0,4.0,3.0,1.0,1.0,3,0
a321 neo,Solo Leisure,Business Class,London to Tenerife,November 2021,3.0,2.0,3.0,3.0,4.0,1.0,2,0
a321 neo,Solo Leisure,Business Class,Tenerife to London,November 2021,4.0,5.0,5.0,3.0,4.0,1.0,4,1
a320,Solo Leisure,Economy Class,Stockholm to London Heathrow,November 2021,1.0,5.0,1.0,3.0,1.0,1.0,2,0
a320neo,Couple Leisure,Business Class,London Heathrow to Tenerife South,November 2021,3.0,3.0,1.0,3.0,2.0,1.0,1,0
boeing 777,Couple Leisure,Economy Class,Manchester to Nassau via London,October 2021,2.0,2.0,2.0,2.0,1.0,1.0,1,0
a321,Business,Economy Class,Belfast to London,November 2021,4.0,5.0,4.0,3.0,4.0,1.0,4,1
a321,Family Leisure,Business Class,Larnaca to London Heathrow,October 2021,2.0,4.0,2.0,3.0,3.0,3.0,3,1
a320,Couple Leisure,Business Class,Lisbon to London Heathrow,September 2021,4.0,4.0,4.0,3.0,5.0,1.0,4,1
boeing 787,Couple Leisure,Premium Economy,Madrid to London,October 2021,4.0,5.0,5.0,4.0,3.0,1.0,5,1
a320neo,Family Leisure,Economy Class,London to Bologna,October 2021,5.0,5.0,3.0,3.0,2.0,1.0,4,1
a321 neo,Business,Economy Class,London to Alicante,October 2021,1.0,4.0,4.0,3.0,4.0,1.0,5,1
a321,Family Leisure,Business Class,London to Larnaca,October 2021,3.0,5.0,3.0,2.0,4.0,2.0,4,1
a320,Business,Economy Class,Prague to London,October 2021,4.0,5.0,3.0,3.0,1.0,1.0,1,0
a350,Business,Business Class,London to Toronto,October 2021,5.0,5.0,5.0,5.0,5.0,5.0,5,1
a320,Family Leisure,Economy Class,London to Prague,October 2021,1.0,1.0,1.0,3.0,1.0,1.0,2,0
a321,Couple Leisure,Business Class,Larnaca to London Heathrow,October 2021,3.0,4.0,3.0,3.0,4.0,3.0,4,1
a321,Business,Economy Class,Belfast to London,September 2021,4.0,3.0,3.0,3.0,4.0,1.0,5,1
a320,Couple Leisure,Business Class,London Heathrow to Larnaca,September 2021,3.0,3.0,3.0,3.0,3.0,2.0,3,1
a320,Family Leisure,Business Class,London to Lisbon,September 2021,3.0,5.0,4.0,3.0,3.0,4.0,4,1
embraer,Solo Leisure,Economy Class,Frankfurt to London,September 2021,4.0,4.0,1.0,3.0,1.0,1.0,1,0
boeing 7878,Solo Leisure,Economy Class,London to Moscow Domodedovo,August 2021,5.0,4.0,1.0,1.0,3.0,1.0,2,1
a320,Family Leisure,Economy Class,London to Corfu,August 2021,4.0,5.0,4.0,4.0,4.0,4.0,4,1
a330,Couple Leisure,Business Class,London Heathrow to Nice,July 2021,3.0,4.0,5.0,3.0,3.0,1.0,3,0
boeing 787,Solo Leisure,Business Class,London to Mexico City,June 2021,1.0,2.0,3.0,3.0,3.0,1.0,1,0
a320,Couple Leisure,Business Class,Preveza to London,June 2021,4.0,3.0,3.0,3.0,5.0,1.0,4,1
a320,Couple Leisure,Business Class,London Heathrow to Preveza,May 2021,4.0,4.0,4.0,3.0,5.0,1.0,4,1
a321neo,Solo Leisure,Economy Class,Aberdeen to London Heathrow,May 2021,4.0,5.0,4.0,3.0,4.0,5.0,4,1
boeing 7879,Business,First Class,Mexico City to London Heathrow,January 2021,2.0,5.0,1.0,2.0,3.0,1.0,3,0
a350,Solo Leisure,Premium Economy,London Heathrow to Dubai,July 2020,4.0,1.0,1.0,5.0,5.0,4.0,5,0
a321,Solo Leisure,Business Class,London to Tenerife,December 2020,3.0,5.0,3.0,3.0,4.0,5.0,4,1
boeing 747,Family Leisure,Economy Class,London Heathrow to Lahore,December 2020,1.0,1.0,1.0,1.0,1.0,1.0,1,0
a320neo,Solo Leisure,Business Class,Warsaw to London-Heathrow,September 2020,5.0,5.0,5.0,5.0,4.0,5.0,5,1
a321,Couple Leisure,Economy Class,London to Santorini,August 2020,4.0,4.0,3.0,3.0,1.0,1.0,2,0
a321,Couple Leisure,Economy Class,London to Paris,February 2020,2.0,3.0,2.0,3.0,5.0,1.0,1,0
a319,Business,Economy Class,Berlin to London,August 2020,1.0,1.0,2.0,3.0,2.0,1.0,2,0
a320,Solo Leisure,Economy Class,Newcastle to London Heathrow,July 2020,5.0,5.0,3.0,3.0,5.0,1.0,5,1
embraer 195,Business,Economy Class,London City to Edinburgh,November 2019,3.0,4.0,3.0,3.0,5.0,1.0,3,1
a350,Solo Leisure,Premium Economy,London to Tel Aviv,April 2020,3.0,4.0,3.0,3.0,3.0,1.0,1,0
a350,Couple Leisure,Business Class,London Heathrow to Toronto ,February 2020,5.0,5.0,5.0,5.0,5.0,1.0,5,1
